trauma_category,trauma_intensity,geo_confidence,nearest_cv_m,sky_ratio,trench_enclosure,canyon_ar
noise,0.71,exact,1700.2,0.3848,0.6152,0.1292
noise,0.71,exact,1703.5,0.3848,0.6152,0.1292
noise,0.71,exact,511.7,0.4034,0.5966,0.1413
noise,0.7,exact,601.0,0.444,0.556,0.1642
noise,0.7,exact,978.7,0.4034,0.5966,0.1413
noise,0.7,exact,873.7,0.3848,0.6152,0.1292
noise,0.7,exact,1238.4,0.0678,0.9322,0.0251
noise,0.7,exact,1045.5,0.4034,0.5966,0.1413
noise,0.7,exact,1601.8,0.3848,0.6152,0.1292
noise,0.7,exact,1700.2,0.3848,0.6152,0.1292
noise,0.7,exact,1100.6,0.4034,0.5966,0.1413
noise,0.69,exact,1208.4,0.0678,0.9322,0.0251
noise,0.69,exact,884.8,0.4034,0.5966,0.1413
noise,0.69,exact,1703.5,0.3848,0.6152,0.1292
noise,0.69,exact,1700.2,0.3848,0.6152,0.1292
noise,0.69,exact,872.4,0.4034,0.5966,0.1413
noise,0.69,exact,1202.2,0.4034,0.5966,0.1413
noise,0.69,exact,1242.3,0.0678,0.9322,0.0251
noise,0.69,exact,1514.4,0.0678,0.9322,0.0251
noise,0.69,exact,1827.9,0.3848,0.6152,0.1292
noise,0.29,centroid_fallback,1945.4,0.444,0.556,0.1642
noise,0.29,centroid_fallback,1756.2,0.4034,0.5966,0.1413
noise,0.29,centroid_fallback,1937.9,0.4034,0.5966,0.1413
noise,0.28,centroid_fallback,1591.2,0.4034,0.5966,0.1413
noise,0.28,centroid_fallback,1662.1,0.444,0.556,0.1642
noise,0.28,centroid_fallback,1980.3,0.4774,0.5226,0.159
noise,0.28,centroid_fallback,1585.5,0.4034,0.5966,0.1413
noise,0.28,centroid_fallback,1223.4,0.444,0.556,0.1642
noise,0.28,centroid_fallback,1392.7,0.444,0.556,0.1642
noise,0.28,centroid_fallback,1870.8,0.4774,0.5226,0.159
noise,0.28,centroid_fallback,1519.7,0.4034,0.5966,0.1413
air_quality,0.62,centroid_fallback,1593.5,0.4034,0.5966,0.1413
air_quality,0.6,exact,733.2,0.3848,0.6152,0.1292
air_quality,0.59,bronx_anchor,1432.2,0.3848,0.6152,0.1292
air_quality,0.58,bronx_anchor,1629.9,0.4034,0.5966,0.1413
air_quality,0.57,exact,607.4,0.4034,0.5966,0.1413
air_quality,0.56,exact,1269.1,0.4034,0.5966,0.1413
air_quality,0.55,exact,1367.7,0.4774,0.5226,0.159
air_quality,0.55,bronx_anchor,1382.4,0.4034,0.5966,0.1413
air_quality,0.55,exact,1072.3,0.4774,0.5226,0.159
air_quality,0.55,exact,1260.5,0.0678,0.9322,0.0251
air_quality,0.54,exact,1368.1,0.3848,0.6152,0.1292
air_quality,0.53,exact,1823.1,0.3848,0.6152,0.1292
air_quality,0.51,centroid_fallback,847.1,0.4034,0.5966,0.1413
air_quality,0.5,centroid_fallback,1685.4,0.4034,0.5966,0.1413
air_quality,0.49,bronx_anchor,1548.0,0.4034,0.5966,0.1413
air_quality,0.47,centroid_fallback,1778.0,0.4034,0.5966,0.1413
health,0.54,centroid_fallback,1848.6,0.4034,0.5966,0.1413
health,0.49,bronx_anchor,1830.5,0.444,0.556,0.1642
health,0.53,bronx_anchor,1213.4,0.444,0.556,0.1642
health,0.47,bronx_anchor,1742.3,0.4034,0.5966,0.1413
health,0.47,centroid_fallback,1934.6,0.4774,0.5226,0.159
health,0.47,bronx_anchor,1521.2,0.4034,0.5966,0.1413
health,0.47,centroid_fallback,953.7,0.444,0.556,0.1642
health,0.47,bronx_anchor,1638.0,0.444,0.556,0.1642
health,0.47,centroid_fallback,1117.9,0.444,0.556,0.1642
health,0.52,centroid_fallback,1975.9,0.4034,0.5966,0.1413
health,0.52,centroid_fallback,1332.8,0.444,0.556,0.1642
health,0.5,bronx_anchor,1755.7,0.444,0.556,0.1642
health,0.5,centroid_fallback,1442.5,0.4034,0.5966,0.1413
displacement,0.62,centroid_fallback,1786.2,0.4034,0.5966,0.1413
displacement,0.59,bronx_anchor,1788.9,0.444,0.556,0.1642
displacement,0.56,bronx_anchor,1302.8,0.444,0.556,0.1642
displacement,0.54,centroid_fallback,1798.0,0.4034,0.5966,0.1413
displacement,0.54,bronx_anchor,1455.1,0.4034,0.5966,0.1413
displacement,0.54,centroid_fallback,1790.2,0.444,0.556,0.1642
displacement,0.54,bronx_anchor,1988.1,0.444,0.556,0.1642
displacement,0.54,bronx_anchor,1720.0,0.4034,0.5966,0.1413
displacement,0.62,bronx_anchor,1607.5,0.4034,0.5966,0.1413
displacement,0.59,bronx_anchor,1786.2,0.4034,0.5966,0.1413
displacement,0.59,bronx_anchor,1460.6,0.4034,0.5966,0.1413
displacement,0.58,bronx_anchor,1842.7,0.4034,0.5966,0.1413
displacement,0.57,bronx_anchor,1725.6,0.4034,0.5966,0.1413
displacement,0.56,centroid_fallback,1829.8,0.4034,0.5966,0.1413
displacement,0.56,centroid_fallback,1850.8,0.4774,0.5226,0.159
displacement,0.56,centroid_fallback,1917.2,0.4034,0.5966,0.1413
displacement,0.56,bronx_anchor,1899.6,0.4034,0.5966,0.1413
