frame_id,lat,lon,sky_ratio,building_ratio,vegetation_ratio
0,40.84628885639,-73.926905457873,0.4088,0.0488,0.0089
1,40.846251630823,-73.926653318731,0.9491,0.0,0.0
2,40.846266628673,-73.926486381155,0.3848,0.0497,0.0019
3,40.8463879,-73.9268322,0.4728,0.0258,0.0
4,40.846149199972,-73.9266372,0.4734,0.1313,0.0
5,40.846157536389,-73.926577010816,0.4016,0.0752,0.006
6,40.8463216,-73.927025,0.4703,0.0495,0.0
7,40.846433906702,-73.927027595301,0.4341,0.0671,0.0424
8,40.846305561397,-73.92673574633,0.3804,0.0751,0.0372
9,40.8461221,-73.926574299972,0.476,0.07,0.0
10,40.845578875636,-73.92947019505,0.4224,0.0265,0.0523
11,40.8460759,-73.9264698,0.4774,0.0759,0.0
12,40.846216126285,-73.926513248954,0.4342,0.0661,0.0344
13,40.8462832,-73.9266242,0.4789,0.0304,0.0
14,40.846233886807,-73.926558236691,0.4283,0.0732,0.0356
15,40.846183450695,-73.926437363426,0.444,0.0729,0.0337
16,40.846308299972,-73.926654799972,0.4672,0.0247,0.0
17,40.846113452615,-73.926464631462,0.4025,0.0453,0.0068
18,40.8462717,-73.927000899972,0.4748,0.0804,0.0
19,40.846372483218,-73.926717723198,0.3157,0.0336,0.0026
20,40.846223301679,-73.92676225942,0.3994,0.0513,0.007
21,40.846259629356,-73.926841902673,0.4042,0.048,0.0105
22,40.846145769394,-73.926543865378,0.4022,0.0716,0.0197
23,40.84620642534,-73.926714721909,0.4,0.0519,0.002
24,40.846309856371,-73.926951123063,0.4097,0.0512,0.0531
25,40.846452126974,-73.927068377198,0.4326,0.0563,0.0481
26,40.846415678566,-73.926986795803,0.4355,0.0825,0.0401
27,40.846238018473,-73.926794909057,0.4016,0.0463,0.0074
28,40.846221920968,-73.926540705242,0.6628,0.0697,0.0
29,40.846388269841,-73.927135624491,0.4012,0.0533,0.0432
30,40.846324036423,-73.926778229638,0.3505,0.0605,0.0359
31,40.846302145184,-73.926718440318,0.6843,0.0169,0.0
32,40.846133656564,-73.92650987837,0.4024,0.045,0.0047
33,40.846099583296,-73.926433571012,0.4034,0.057,0.0095
34,40.845227,-73.929881,0.0923,0.2199,0.0034
35,40.8463495,-73.926743799972,0.4711,0.0297,0.0
36,40.845590605981,-73.929558617168,0.431,0.0297,0.048
37,40.846353658943,-73.926875861789,0.9585,0.0,0.0
38,40.846432576324,-73.927054072927,0.9397,0.0234,0.0021
39,40.846097299972,-73.9265173,0.4748,0.0709,0.0
40,40.846378898693,-73.926904385392,0.3108,0.0798,0.0355
41,40.8462539,-73.9265397,0.4722,0.0344,0.0
42,40.846381719822,-73.92689372775,0.705,0.0094,0.0
43,40.846456449257,-73.927074205451,0.6266,0.0,0.0
44,40.846251758372,-73.926603505702,0.4224,0.0668,0.0352
45,40.846360827776,-73.92686283133,0.2922,0.0854,0.036
46,40.845573160249,-73.929429006592,0.4204,0.0246,0.0519
47,40.8464315,-73.926934399972,0.4695,0.0135,0.0
48,40.846397018231,-73.926945028924,0.4258,0.0778,0.0373
49,40.846152899972,-73.926742599972,0.4689,0.1071,0.0
50,40.846247499972,-73.926858999972,0.474,0.0669,0.0
51,40.846287245352,-73.926693394893,0.3952,0.0804,0.0349
52,40.846182321806,-73.926646826733,0.4027,0.0742,0.0423
53,40.8462072,-73.9268624,0.4726,0.0843,0.0
54,40.846327243307,-73.926988931558,0.4108,0.0665,0.0262
55,40.845355402976,-73.929824120238,0.0,0.0,0.5349
56,40.846269770489,-73.926649130734,0.4083,0.0873,0.0338
57,40.8463368,-73.9271444,0.4701,0.0755,0.0
58,40.846274360414,-73.926873935871,0.4058,0.0658,0.0386
59,40.84635877039,-73.927064274273,0.4108,0.0448,0.0075
60,40.845450677946,-73.929657047705,0.1066,0.0138,0.0007
61,40.846194661148,-73.926681584366,0.4042,0.0843,0.0138
62,40.845597486063,-73.929604297438,0.4356,0.0234,0.0513
63,40.846198533698,-73.926469059591,0.4413,0.0819,0.0334
64,40.846488,-73.9270558,0.4592,0.0537,0.0
65,40.846345081156,-73.927031164171,0.41,0.0484,0.0043
66,40.846470638703,-73.927109811455,0.4275,0.0697,0.0493
67,40.8453024,-73.9298624,0.3804,0.0,0.2408
68,40.845102179365,-73.929899201488,0.2893,0.0,0.0003
69,40.846170698507,-73.926483527363,0.987,0.0,0.0
70,40.846377699972,-73.926832799972,0.479,0.0523,0.0
71,40.845567887557,-73.929393247259,0.4229,0.0261,0.0538
72,40.845292712916,-73.929781680928,0.3196,0.0002,0.0
73,40.845136,-73.9299712,0.3354,0.0,0.2987
74,40.845475508532,-73.929658449008,0.319,0.0075,0.0001
75,40.845301,-73.929855,0.2603,0.0241,0.1761
76,40.84554192709,-73.929702884592,0.0,0.0849,0.3065
77,40.8454752,-73.9297472,0.3486,0.0,0.2361
78,40.845584655453,-73.929513762707,0.4262,0.0287,0.0499
79,40.845418,-73.929743,0.1092,0.0005,0.0056
80,40.845154,-73.929946,0.2785,0.0003,0.1895
81,40.84541,-73.92976,0.1022,0.0108,0.0038
82,40.846428951411,-73.926845009404,0.3879,0.1165,0.0017
83,40.845168406206,-73.929941437137,0.0,0.0,0.4814
84,40.846373715309,-73.927100421495,0.4117,0.0434,0.0443
85,40.84634249573,-73.926820676802,0.3162,0.0777,0.039
86,40.846486993305,-73.927148648176,0.4248,0.0643,0.0526
87,40.845047,-73.929992,0.0678,0.0017,0.1471
88,40.845458,-73.929746,0.2364,0.0591,0.1558
89,40.845297999978,-73.92975694596,0.0765,0.1001,0.0053
90,40.846465,-73.9270254,0.4765,0.0252,0.0
91,40.846189799972,-73.9267305,0.4758,0.0603,0.0
92,40.845219,-73.929882,0.0862,0.0014,0.0005
93,40.845146519629,-73.9298526354,0.1643,0.0002,0.0719
94,40.846529179661,-73.927087462712,0.3935,0.0604,0.0044
95,40.84632558297,-73.926615053861,0.3589,0.0348,0.0029
96,40.846169972311,-73.926612040498,0.4024,0.0869,0.0012
97,40.846484253346,-73.926979447527,0.3973,0.0484,0.0024
98,40.845595,-73.929636,0.1734,0.0017,0.0298
