TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2023,CD,101,6,Financial District (CD1),2.1*,1.5*,8*
2023,CD,102,6,Greenwich Village and Soho (CD2),0.8*,0.9*,7*
2023,CD,103,6,Lower East Side and Chinatown (CD3),6.6,7.1,104
2023,CD,104,6,Clinton and Chelsea (CD4),2.5,2.4,31
2023,CD,105,6,Midtown (CD5),1.6*,1.6*,9*
2023,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),2.8,2.6,33
2023,CD,107,6,Upper West Side (CD7),4.5,4.5,79
2023,CD,108,6,Upper East Side (CD8),1.5,1.7,31
2023,CD,109,6,Morningside Heights and Hamilton Heights (CD9),9.0,8.6,75
2023,CD,110,6,Central Harlem (CD10),15.7,15.2,136
2023,CD,111,6,East Harlem (CD11),13.4,13.7,129
2023,CD,112,6,Washington Heights and Inwood (CD12),6.4,6.7,100
2023,CD,201,6,Mott Haven and Melrose (CD1),25.4,25.6,172
2023,CD,202,6,Hunts Point and Longwood (CD2),18.4,18.5,71
2023,CD,203,6,Morrisania and Crotona (CD3),22.4,22.4,137
2023,CD,204,6,Highbridge and Concourse (CD4),14.3,14.6,159
2023,CD,205,6,Fordham and University Heights (CD5),15.8,15.9,147
2023,CD,206,6,Belmont and East Tremont (CD6),26.7,26.3,154
2023,CD,207,6,Kingsbridge Heights and Bedford (CD7),17.1,17.1,178
2023,CD,208,6,Riverdale and Fieldston (CD8),7.2,8.0,62
2023,CD,209,6,Parkchester and Soundview (CD9),18.8,19.7,266
2023,CD,210,6,Throgs Neck and Co-op City (CD10),13.4,13.8,129
2023,CD,211,6,Morris Park and Bronxdale (CD11),20.5,21.4,183
2023,CD,212,6,Williamsbridge and Baychester (CD12),22.2,22.9,263
2023,CD,301,6,Greenpoint and Williamsburg (CD1),4.7,4.1,62
2023,CD,302,6,Fort Greene and Brooklyn Heights (CD2),7.7,7.2,82
2023,CD,303,6,Bedford Stuyvesant (CD3),11.6,11.6,129
2023,CD,304,6,Bushwick (CD4),8.5,8.4,69
2023,CD,305,6,East New York and Starrett City (CD5),11.4,11.4,146
2023,CD,306,6,Park Slope and Carroll Gardens (CD6),7.5,6.0,54
2023,CD,307,6,Sunset Park (CD7),5.3,5.0,51
2023,CD,308,6,Crown Heights and Prospect Heights (CD8),11.4,10.8,82
2023,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),9.0,9.3,70
2023,CD,310,6,Bay Ridge and Dyker Heights (CD10),2.5,2.6,30
2023,CD,311,6,Bensonhurst (CD11),1.5,1.6,26
2023,CD,312,6,Borough Park (CD12),1.8,1.9,25
2023,CD,313,6,Coney Island (CD13),9.6,9.5,84
2023,CD,314,6,Flatbush and Midwood (CD14),5.5,5.9,72
2023,CD,315,6,Sheepshead Bay (CD15),2.3,2.5,35
2023,CD,316,6,Brownsville (CD16),17.7,18.1,106
2023,CD,317,6,East Flatbush (CD17),8.6,9.1,108
2023,CD,318,6,Flatlands and Canarsie (CD18),7.3,7.5,108
2023,CD,401,6,Long Island City and Astoria (CD1),6.4,6.6,103
2023,CD,402,6,Woodside and Sunnyside (CD2),3.1,3.3,41
2023,CD,403,6,Jackson Heights (CD3),4.9,5.0,68
2023,CD,404,6,Elmhurst and Corona (CD4),3.9,4.2,61
2023,CD,405,6,Ridgewood and Maspeth (CD5),5.0,5.2,63
2023,CD,406,6,Rego Park and Forest Hills (CD6),2.8,3.3,31
2023,CD,407,6,Flushing and Whitestone (CD7),3.3,3.5,77
2023,CD,408,6,Hillcrest and Fresh Meadows (CD8),5.0,5.4,66
2023,CD,409,6,Kew Gardens and Woodhaven (CD9),7.1,7.4,81
2023,CD,410,6,South Ozone Park and Howard Beach (CD10),6.3,6.5,62
2023,CD,411,6,Bayside and Little Neck (CD11),3.7,3.8,36
2023,CD,412,6,Jamaica and Hollis (CD12),10.1,10.7,191
2023,CD,413,6,Queens Village (CD13),6.7,6.9,106
2023,CD,414,6,Rockaway and Broad Channel (CD14),10.4,10.8,88
2023,CD,501,6,St. George and Stapleton (CD1),9.6,9.8,145
2023,CD,502,6,South Beach and Willowbrook (CD2),6.8,7.5,86
2023,CD,503,6,Tottenville and Great Kills (CD3),3.1,3.3,41
2023,UHF42,101,4,Kingsbridge - Riverdale,6.5,7.1,51
2023,UHF42,102,4,Northeast Bronx,18.7,19.5,303
2023,UHF42,103,4,Fordham - Bronx Pk,18.4,18.5,341
2023,UHF42,104,4,Pelham - Throgs Neck,18.8,19.4,430
2023,UHF42,105,4,Crotona - Tremont,19.8,19.9,299
2023,UHF42,106,4,High Bridge - Morrisania,16.9,17.2,262
2023,UHF42,107,4,Hunts Point - Mott Haven,22.9,23.0,235
2023,UHF42,201,4,Greenpoint,3.9,3.4,38
2023,UHF42,202,4,Downtown - Heights - Slope,7.4,6.6,142
2023,UHF42,203,4,Bedford Stuyvesant - Crown Heights,11.3,11.1,301
2023,UHF42,204,4,East New York,10.0,10.0,148
2023,UHF42,205,4,Sunset Park,5.3,5.1,47
2023,UHF42,206,4,Borough Park,2.2,2.4,55
2023,UHF42,207,4,East Flatbush - Flatbush,7.6,8.1,186
2023,UHF42,208,4,Canarsie - Flatlands,7.8,7.9,125
2023,UHF42,209,4,Bensonhurst - Bay Ridge,2.4,2.6,42
2023,UHF42,210,4,Coney Island - Sheepshead Bay,5.1,5.3,120
2023,UHF42,211,4,Williamsburg - Bushwick,8.4,8.1,135
2023,UHF42,301,4,Washington Heights,6.7,6.9,143
2023,UHF42,302,4,Central Harlem - Morningside Heights,12.2,12.0,177
2023,UHF42,303,4,East Harlem,12.5,12.8,114
2023,UHF42,304,4,Upper West Side,4.2,4.4,85
2023,UHF42,305,4,Upper East Side,1.5,1.7,31
2023,UHF42,306,4,Chelsea - Clinton,2.6,2.5,36
2023,UHF42,307,4,Gramercy Park - Murray Hill,2.8,2.5,31
2023,UHF42,308,4,Greenwich Village - SoHo,1.0*,1.1*,8*
2023,UHF42,309,4,Union Square - Lower East Side,6.1,6.3,104
2023,UHF42,310,4,Lower Manhattan,2.8,2.4,13
2023,UHF42,401,4,Long Island City - Astoria,5.8,6.0,101
2023,UHF42,402,4,West Queens,4.9,5.2,185
2023,UHF42,403,4,Flushing - Clearview,3.6,3.8,80
2023,UHF42,404,4,Bayside - Little Neck,4.0,4.1,30
2023,UHF42,405,4,Ridgewood - Forest Hills,3.7,3.9,81
2023,UHF42,406,4,Fresh Meadows,3.5,3.7,29
2023,UHF42,407,4,Southwest Queens,6.4,6.6,141
2023,UHF42,408,4,Jamaica,8.5,9.0,228
2023,UHF42,409,4,Southeast Queens,6.1,6.5,112
2023,UHF42,410,4,Rockaways,8.6,8.9,88
2023,UHF42,501,4,Port Richmond,12.7,12.7,68
2023,UHF42,502,4,Stapleton - St. George,9.6,10.4,106
2023,UHF42,503,4,Willowbrook,4.9,5.4,41
2023,UHF42,504,4,South Beach - Tottenville,3.5,3.7,57
2023,Borough,1,1,Bronx,18.3,18.8,"1,947"
2023,Borough,2,1,Brooklyn,6.6,6.7,"1,355"
2023,Borough,3,1,Manhattan,5.4,5.5,757
2023,Borough,4,1,Queens,6.1,6.4,"1,163"
2023,Borough,5,1,Staten Island,6.8,7.1,276
2023,Citywide,1,0,New York City,8.0,8.3,"5,498"
2022,CD,101,6,Financial District (CD1),2.1*,1.6*,8*
2022,CD,102,6,Greenwich Village and Soho (CD2),0.8*,0.9*,7*
2022,CD,103,6,Lower East Side and Chinatown (CD3),5.5,5.6,82
2022,CD,104,6,Clinton and Chelsea (CD4),3.1,3.0,38
2022,CD,105,6,Midtown (CD5),1.5*,1.3*,7*
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),2.0,2.0,25
2022,CD,107,6,Upper West Side (CD7),4.4,3.9,69
2022,CD,108,6,Upper East Side (CD8),1.2,1.3,24
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),9.1,8.6,75
