TimePeriod,GeoType,GeoID,GeoRank,Geography,Average annual number,"Average annual rate per 10,000"
2017-2019,NTA2010,501,9,Claremont-Bathgate,298,399.5
2017-2019,NTA2010,503,9,Eastchester-Edenwald-Baychester,176,271.2
2017-2019,NTA2010,505,9,Bedford Park-Fordham North,316,301.3
2017-2019,NTA2010,506,9,Belmont,168,330.2
2017-2019,NTA2010,507,9,Bronxdale,185,288.6
2017-2019,NTA2010,508,9,West Farms-Bronx River,172,272.1
2017-2019,NTA2010,509,9,Soundview-Castle Hill-Clason Point-Harding Park,252,251.6
2017-2019,NTA2010,510,9,Pelham Bay-Country Club-City Island,43,120.2
2017-2019,NTA2010,513,9,Co-op City,82,137.7
2017-2019,NTA2010,514,9,East Concourse-Concourse Village,412,355.7
2017-2019,NTA2010,517,9,East Tremont,364,404.9
2017-2019,NTA2010,522,9,North Riverdale-Fieldston-Riverdale,19,64.4
2017-2019,NTA2010,526,9,Highbridge,225,306.8
2017-2019,NTA2010,527,9,Hunts Point,141,279.4
2017-2019,NTA2010,528,9,Van Cortlandt Village,194,239.7
2017-2019,NTA2010,529,9,Spuyten Duyvil-Kingsbridge,34,94.2
2017-2019,NTA2010,530,9,Kingsbridge Heights,150,276.1
2017-2019,NTA2010,531,9,Allerton-Pelham Gardens,82,170.0
2017-2019,NTA2010,533,9,Longwood,187,358.8
2017-2019,NTA2010,534,9,Melrose South-Mott Haven North,358,425.4
2017-2019,NTA2010,535,9,Morrisania-Melrose,295,363.8
2017-2019,NTA2010,536,9,University Heights-Morris Heights,314,293.1
2017-2019,NTA2010,537,9,Van Nest-Morris Park-Westchester Square,113,221.6
2017-2019,NTA2010,539,9,Mott Haven-Port Morris,586,565.8
2017-2019,NTA2010,540,9,Fordham South,172,315.7
2017-2019,NTA2010,541,9,Mount Hope,342,345.4
2017-2019,NTA2010,543,9,Norwood,305,422.9
2017-2019,NTA2010,544,9,Williamsbridge-Olinville,373,323.9
2017-2019,NTA2010,546,9,Parkchester,84,196.9
2017-2019,NTA2010,549,9,Pelham Parkway,63,154.6
2017-2019,NTA2010,552,9,Schuylerville-Throgs Neck-Edgewater Park,89,122.2
2017-2019,NTA2010,555,9,Soundview-Bruckner,160,240.4
2017-2019,NTA2010,559,9,Westchester-Unionport,115,229.2
2017-2019,NTA2010,562,9,Woodlawn-Wakefield,146,221.3
2017-2019,NTA2010,563,9,West Concourse,269,386.7
2017-2019,NTA2010,575,9,Crotona Park East,136,329.0
2017-2019,NTA2010,4709,9,Brooklyn Heights-Cobble Hill,6,34.8
2017-2019,NTA2010,4717,9,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,59,68.3
2017-2019,NTA2010,4719,9,Brighton Beach,23,59.3
2017-2019,NTA2010,4721,9,Seagate-Coney Island,118,224.3
2017-2019,NTA2010,4723,9,West Brighton,4,30.0
2017-2019,NTA2010,4725,9,Homecrest,17,21.1
2017-2019,NTA2010,4726,9,Gravesend,34,80.1
2017-2019,NTA2010,4727,9,Bath Beach,17,34.1
2017-2019,NTA2010,4728,9,Bensonhurst West,48,35.8
2017-2019,NTA2010,4729,9,Bensonhurst East,38,41.8
2017-2019,NTA2010,4730,9,Dyker Heights,21,31.9
2017-2019,NTA2010,4731,9,Bay Ridge,51,49.5
2017-2019,NTA2010,4732,9,Sunset Park West,96,124.8
2017-2019,NTA2010,4733,9,Carroll Gardens-Columbia Street-Red Hook,81,161.3
2017-2019,NTA2010,4734,9,Sunset Park East,81,76.9
2017-2019,NTA2010,4735,9,Stuyvesant Heights,296,306.6
2017-2019,NTA2010,4737,9,Park Slope-Gowanus,47,59.2
2017-2019,NTA2010,4738,9,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,111,223.9
2017-2019,NTA2010,4740,9,Windsor Terrace,7,27.6
2017-2019,NTA2010,4741,9,Kensington-Ocean Parkway,34,51.1
2017-2019,NTA2010,4742,9,Flatbush,236,149.5
2017-2019,NTA2010,4743,9,Midwood,23,21.9
2017-2019,NTA2010,4744,9,Madison,16,25.0
2017-2019,NTA2010,4745,9,Georgetown-Marine Park-Bergen Beach-Mill Basin,26,31.3
2017-2019,NTA2010,4746,9,Ocean Parkway South,8,18.1
2017-2019,NTA2010,4750,9,Canarsie,257,197.2
2017-2019,NTA2010,4758,9,Flatlands,140,124.6
2017-2019,NTA2010,4760,9,Prospect Lefferts Gardens-Wingate,224,257.3
2017-2019,NTA2010,4761,9,Crown Heights North,436,292.1
2017-2019,NTA2010,4763,9,Crown Heights South,104,166.8
2017-2019,NTA2010,4764,9,Prospect Heights,23,132.1
2017-2019,NTA2010,4768,9,Fort Greene,88,244.7
2017-2019,NTA2010,4769,9,Clinton Hill,44,127.7
2017-2019,NTA2010,4772,9,Williamsburg,24,22.1
2017-2019,NTA2010,4773,9,North Side-South Side,53,81.6
2017-2019,NTA2010,4775,9,Bedford,267,178.5
2017-2019,NTA2010,4776,9,Greenpoint,14,51.2
2017-2019,NTA2010,4777,9,Bushwick North,166,202.9
2017-2019,NTA2010,4778,9,Bushwick South,288,275.5
2017-2019,NTA2010,4779,9,Ocean Hill,189,320.9
2017-2019,NTA2010,4781,9,Brownsville,500,522.1
2017-2019,NTA2010,4782,9,East New York,583,343.3
2017-2019,NTA2010,4783,9,Cypress Hills-City Line,165,187.8
2017-2019,NTA2010,4785,9,East New York (Pennsylvania Ave),198,382.3
2017-2019,NTA2010,4788,9,Borough Park,51,18.0
2017-2019,NTA2010,4790,9,East Williamsburg,61,202.3
2017-2019,NTA2010,4791,9,East Flatbush-Farragut,195,293.6
2017-2019,NTA2010,4793,9,Starrett City,40,238.9
2017-2019,NTA2010,4795,9,Erasmus,125,312.9
2017-2019,NTA2010,4796,9,Rugby-Remsen Village,255,344.8
2017-2019,NTA2010,6101,9,Marble Hill-Inwood,108,154.6
2017-2019,NTA2010,6103,9,Central Harlem North-Polo Grounds,541,441.4
2017-2019,NTA2010,6104,9,Hamilton Heights,118,190.9
2017-2019,NTA2010,6106,9,Manhattanville,107,324.1
2017-2019,NTA2010,6109,9,Morningside Heights,126,283.1
2017-2019,NTA2010,6111,9,Central Harlem South,227,351.3
2017-2019,NTA2010,6112,9,Upper West Side,152,109.0
2017-2019,NTA2010,6113,9,Hudson Yards-Chelsea-Flatiron-Union Square,60,143.5
2017-2019,NTA2010,6114,9,Lincoln Square,35,70.0
2017-2019,NTA2010,6115,9,Clinton,40,172.7
2017-2019,NTA2010,6117,9,Midtown-Midtown South,15,159.6
2017-2019,NTA2010,6119,9,Turtle Bay-East Midtown,6,23.3
2017-2019,NTA2010,6120,9,Murray Hill-Kips Bay,29,148.0
2017-2019,NTA2010,6121,9,Gramercy,12,109.3
2017-2019,NTA2010,6122,9,East Village,25,158.9
2017-2019,NTA2010,6123,9,West Village,9,25.1
2017-2019,NTA2010,6124,9,SoHo-TriBeCa-Civic Center-Little Italy,10,27.2
2017-2019,NTA2010,6125,9,Battery Park City-Lower Manhattan,9,33.6
2017-2019,NTA2010,6127,9,Chinatown,57,138.7
2017-2019,NTA2010,6128,9,Lower East Side,281,337.5
2017-2019,NTA2010,6131,9,Lenox Hill-Roosevelt Island,25,41.1
2017-2019,NTA2010,6132,9,Yorkville,37,55.8
2017-2019,NTA2010,6133,9,East Harlem South,383,477.0
2017-2019,NTA2010,6134,9,East Harlem North,454,469.3
2017-2019,NTA2010,6135,9,Washington Heights North,123,141.3
2017-2019,NTA2010,6136,9,Washington Heights South,238,215.7
2017-2019,NTA2010,6140,9,Upper East Side-Carnegie Hill,10,12.8
2017-2019,NTA2010,6150,9,Stuyvesant Town-Cooper Village,5,35.2
2017-2019,NTA2010,8101,9,South Jamaica,136,185.6
2017-2019,NTA2010,8102,9,Springfield Gardens North,56,157.5
2017-2019,NTA2010,8103,9,Springfield Gardens South-Brookville,41,119.7
2017-2019,NTA2010,8105,9,Rosedale,33,81.3
2017-2019,NTA2010,8106,9,Jamaica Estates-Holliswood,30,90.0
2017-2019,NTA2010,8107,9,Hollis,45,152.2
2017-2019,NTA2010,8108,9,St. Albans,118,157.1
2017-2019,NTA2010,8110,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,10,25.0
2017-2019,NTA2010,8112,9,Hammels-Arverne-Edgemere,151,202.8
2017-2019,NTA2010,8115,9,Far Rockaway-Bayswater,151,152.4
2017-2019,NTA2010,8117,9,Forest Hills,33,38.0
2017-2019,NTA2010,8118,9,Rego Park,16,56.9
2017-2019,NTA2010,8119,9,Glendale,37,65.9
2017-2019,NTA2010,8120,9,Ridgewood,119,102.5
2017-2019,NTA2010,8121,9,Middle Village,21,39.9
2017-2019,NTA2010,8122,9,Flushing,57,83.7
2017-2019,NTA2010,8123,9,College Point,36,97.2
2017-2019,NTA2010,8125,9,Corona,129,144.9
2017-2019,NTA2010,8126,9,North Corona,145,171.8
